feature
distancia_km
n_atores_total
n_atores_residentes
n_atores_externos
n_tecnicos
total_pessoas_equipa
peso_cenario_kg
n_figurinos
dias_deslocacao
percentagem_imprevistos
lotacao_espaco
receita_esperada
tipo_espetaculo_musical
tipo_espetaculo_performance_dança
tipo_espetaculo_teatro_adulto
tipo_espetaculo_teatro_de_rua
tipo_espetaculo_teatro_experimental
tipo_espetaculo_teatro_infantil
tipo_local_câmara_municipal
tipo_local_escola
tipo_local_espaço_exterior
tipo_local_espaço_privado
tipo_local_festival
tipo_local_teatro_municipal
tipo_contrato_misto
tipo_contrato_percentagem_receita
