feature
distancia_km
tem_portagens
precisa_carrinha
precisa_autocarro_privado
n_carros_extra
custo_combustivel_eur
custo_portagens_eur
custo_aluguer_carrinha_eur
custo_total_transporte_eur
n_atores_total
n_atores_residentes
n_atores_externos
n_tecnicos
total_pessoas_equipa
custo_cachets_eur
peso_cenario_kg
tem_cenario_grande
custo_construcao_cenario_eur
custo_cenografo_eur
custo_aluguer_cenico_eur
custo_adereccos_eur
custo_total_cenario_eur
n_figurinos
tem_costureira
tem_maquilhagem
custo_figurinos_eur
custo_costureira_eur
custo_maquilhagem_eur
custo_total_figurinos_eur
dias_deslocacao
catering_pago_pelo_cliente
alojamento_pago_pelo_cliente
precisa_alojamento
custo_catering_eur
custo_alojamento_eur
custo_total_alimentacao_alojamento_eur
tem_sistema_proprio
custo_aluguer_luz_eur
custo_aluguer_som_eur
custo_tecnico_luz_eur
custo_tecnico_som_eur
custo_tecnicos_palco_eur
custo_total_tecnica_eur
custo_licencas_aavp_eur
marketing_pago_pelo_espaco
custo_marketing_eur
percentagem_imprevistos
custo_imprevistos_eur
custo_total_eur
lotacao_espaco
receita_esperada
custo_transporte_por_ator
custo_tecnico_por_pessoa
custo_km_estimado
lucro_estimado_eur
tipo_espetaculo_musical
tipo_espetaculo_performance_dança
tipo_espetaculo_teatro_adulto
tipo_espetaculo_teatro_de_rua
tipo_espetaculo_teatro_experimental
tipo_espetaculo_teatro_infantil
tipo_local_câmara_municipal
tipo_local_escola
tipo_local_espaço_exterior
tipo_local_espaço_privado
tipo_local_festival
tipo_local_teatro_municipal
tipo_contrato_misto
tipo_contrato_percentagem_receita
